,names,authors,ratings,u_date
188,Puer Magi: Aeternus,atamascolily,Teen And Up Audiences,04 May 2023
189,Orrery,DoesItWeighMoreThanADuck,Teen And Up Audiences,04 May 2023
190,Puella Magi New Kids Magica (or: Meguca on the Rock),Alfasolmega,Teen And Up Audiences,04 May 2023
191,Multiverse in Madness,xylo_phone,Not Rated,04 May 2023
192,"Upon a Shooting☆Star (Wish, hero!)",atamascolily,General Audiences,04 May 2023
193,Lost World or Vision of the Future?: The PMMM Concept Movie Trailer,WestOrEast,Teen And Up Audiences,03 May 2023
194,Joining a Club,Exotos135,Explicit,02 May 2023
195,Time and Time Again,Turwaithion,Teen And Up Audiences,02 May 2023
196,and Pharaoh's heart was hardened,barb_elle,Not Rated,02 May 2023
197,unexpected,whoneedsapublisher,General Audiences,02 May 2023
198,Boughs,Elick320,General Audiences,02 May 2023
199,"Hidden Pasts, Present Secrets",kennyispookie,Teen And Up Audiences,01 May 2023
200,The Five Stages of Grief,Youngmoonlight,General Audiences,01 May 2023
201,"If it means to see her smile, then I'll endure the suffering",apceros1,Teen And Up Audiences,01 May 2023
202,Pueri Magia Contra Machina,atamascolily,Mature,01 May 2023
203,The Night Parade of One Hundred Witches,MsFaust,Teen And Up Audiences,30 Apr 2023
204,Back to the Fire 'AMV',seemuc,Teen And Up Audiences,30 Apr 2023
205,小圆☆魔力新剧场版：Q（まどか☆マギカ新劇場版：  Q）,1nceuponadream,General Audiences,30 Apr 2023
206,RWBY: The Beacon Of Change,AstroFox77,Mature,30 Apr 2023
207,Puella Magi Rin Magica,ConeDaddyZonalAscention69,Teen And Up Audiences,29 Apr 2023
208,Leagues Above The Competition,Child_of_the_Fae,Explicit,29 Apr 2023
209,Puella Magi: Sonic The Hedgehog,junkohenoshi,General Audiences,28 Apr 2023
210,"I've loved, I've laughed and cried/I've had my fill, my share of losing (maybe a temp. title)",CrusadingDoomguy,Teen And Up Audiences,28 Apr 2023
211,Enjoying This Elegant Night,AmazingAroAce,Explicit,28 Apr 2023
212,Coin-Flip Soul,junkohenoshi,General Audiences,27 Apr 2023
213,She Who Fights Monsters,annunciatingArchangel,Teen And Up Audiences,27 Apr 2023
214,Blue Dawn,atamascolily,Explicit,26 Apr 2023
215,Magica,Necoiscool04,Teen And Up Audiences,26 Apr 2023
216,Spoiled,Rea (Rea07),Teen And Up Audiences,26 Apr 2023
217,Witch Hunting Gone Wrong,honey_smiles,General Audiences,24 Apr 2023
218,Homura: Madoka's Fetish Toy,junkohenoshi,Explicit,24 Apr 2023
219,【焰圆】入戏,breaksword,General Audiences,24 Apr 2023
220,"Crazy Custom Danganronpa! (Not really. I can’t think of a name, sorry.)",Lizzie_LinLin,Teen And Up Audiences,23 Apr 2023
221,Break From The Usual,junkohenoshi,Teen And Up Audiences,22 Apr 2023
222,Naming,Dragonexx,General Audiences,22 Apr 2023
223,Sandy Discourse,junkohenoshi,General Audiences,21 Apr 2023
224,If on a Winter's Night... (rewrite),Marta_Ayanami,Not Rated,21 Apr 2023
225,Danganronpa: Fandom of Fictional's Despair,Patrick2006yowyowdavid,Mature,21 Apr 2023
226,glass ♡ apple,parallelisme00000,Teen And Up Audiences,21 Apr 2023
227,Second Wish,Quifeng (Setia),Not Rated,20 Apr 2023
228,Puella Magi Sayumi☆Magica!,fluffyfluffiestkitsunes,Teen And Up Audiences,20 Apr 2023
229,Karaat and the ex-Magical Girl turned Horny Housewife,ArtworkerGEMS,Explicit,19 Apr 2023
230,Touch of a Kiss,rubylily,Explicit,19 Apr 2023
231,Water Girl Series,PissAnon,Explicit,18 Apr 2023
232,Promise,cherryjamcake,Teen And Up Audiences,17 Apr 2023
233,"The Princess, the Knight, and the Maid",GoggleLad,General Audiences,17 Apr 2023
234,Days In A Gilded Cage,HiddenArch,Teen And Up Audiences,16 Apr 2023
235,"Goddess, love and tears",puratonu,General Audiences,16 Apr 2023
236,I’m leaving tonight,the_clover_kat,Not Rated,16 Apr 2023
237,Sailor Venus and the Quest for Power-Ups!,Shanejayell,Teen And Up Audiences,16 Apr 2023
238,YOU STILL CAN'T DO IT BITCH,Stupidly_Charming,General Audiences,15 Apr 2023
239,"Half-Human, Half-Ghost, Half-Magical, and Half-Lost",TapuKokoro,Teen And Up Audiences,15 Apr 2023
240,Summer Accident,junkohenoshi,Mature,15 Apr 2023
241,Unintentional Words,Pi_ke,Teen And Up Audiences,15 Apr 2023
242,Magical dicking,Blasyrkh,Explicit,15 Apr 2023
243,Madoka Attacks North Korea Z Kai,Loli_Molester,Explicit,14 Apr 2023
244,It was love that tainted my soul gem,Bigheart_99,Explicit,14 Apr 2023
245,Keys to the Contract,Dragonexx,Teen And Up Audiences,14 Apr 2023
246,Worlds Apart,MegucaHistorian,Teen And Up Audiences,14 Apr 2023
247,偶像剧,starlight295,General Audiences,13 Apr 2023
248,"""Madoka.""",kojifish,General Audiences,13 Apr 2023
249,Was it worth it,Aus4soda,Mature,13 Apr 2023
250,break ice,qingtian23,General Audiences,13 Apr 2023
251,Rude Awakening,junkohenoshi,Teen And Up Audiences,13 Apr 2023
252,好孩子,starlight295,General Audiences,12 Apr 2023
253,Interview logs,Doublefallen,Teen And Up Audiences,12 Apr 2023
254,Puella Magi Madoka Magica: The Cosmic Devil meets the Digital Messiah,Shigure_Kain06,General Audiences,11 Apr 2023
255,【魔法少女小圆/鹿目圆右向合集】神のごほうび,eelop,Mature,11 Apr 2023
256,The Nature of Time and Fate,Shadestruck,Teen And Up Audiences,10 Apr 2023
257,Death Comes for the Incubator,atamascolily,Teen And Up Audiences,10 Apr 2023
258,With An Air of Normalcy,junkohenoshi,General Audiences,09 Apr 2023
259,my fic ideas that i will never do.,ranpoecookies,Not Rated,09 Apr 2023
260,Fandomronpa Multiversal Despair,AlexandraTheUltimateGamer,Mature,09 Apr 2023
261,Beginning with a Single Step,The_Weed_Smoker,Teen And Up Audiences,08 Apr 2023
262,Madoka Magica Live Action Adaptation,defuse00,Teen And Up Audiences,08 Apr 2023
263,Meeting Affairs,Anon_is_dead2328,General Audiences,08 Apr 2023
264,Thank You Sensei,junkohenoshi,General Audiences,07 Apr 2023
265,Extinction,Speedanon,Mature,07 Apr 2023
266,Magia Record Anime Arc 2: Prologue,Jafs,Teen And Up Audiences,07 Apr 2023
267,My Church Offers No Absolutes,FairReviewer,Teen And Up Audiences,06 Apr 2023
268,Puella Magi Madoka Magica: The Written Story,H0LOdm,Teen And Up Audiences,06 Apr 2023
269,Sailor Saturn Short Manga Tribute [Fanvid],Sool_Jim,General Audiences,05 Apr 2023
270,Hommage court à Sailor Saturn dans le manga [Fanvid],MiaQc,General Audiences,05 Apr 2023
271,献祭,MiaQc,Teen And Up Audiences,05 Apr 2023
272,good-for-nothing knight,qingtian23,Mature,04 Apr 2023
273,Let me beside you,rakkosupremacy,Not Rated,02 Apr 2023
274,Sayaka Miki Abducted,Lei_Re,Explicit,02 Apr 2023
275,[Fanvid] Defying Gravity,theponycaptorproject,Teen And Up Audiences,01 Apr 2023
276,"Meditations on Philosophy, or how to be magic Socrates",atamascolily,General Audiences,01 Apr 2023
277,The Girl who Sucks,Micheal,Teen And Up Audiences,31 Mar 2023
278,願望的盡頭,DoltHHaven,General Audiences,30 Mar 2023
279,The 13th Struggle,kataashi,Mature,29 Mar 2023
280,Homura’s Really Bad Time Traveling Experiences,TTY7,Explicit,29 Mar 2023
281,FA Victory Alternate Universe/Speculation,Loli_Molester,Not Rated,28 Mar 2023
282,Junko sensei,Arum60,Explicit,28 Mar 2023
283,The Rose Coffin,Blasyrkh,Mature,27 Mar 2023
284,[新VD]魔女的回声,EVA_beatrice,General Audiences,27 Mar 2023
285,Extinção,pillowknife,Mature,27 Mar 2023
286,Is This Truly a Wish?,Jafs,Explicit,26 Mar 2023
287,Danganronpa 31: Erm What the Hell,kinsleyissosilly,Teen And Up Audiences,26 Mar 2023
288,reward,Vinyllol,Mature,26 Mar 2023
289,in her eyes,qingtian23,General Audiences,25 Mar 2023
290,Second Chances: A Growing Web of Relations,N_noi,Teen And Up Audiences,25 Mar 2023
291,The Violinist and the Witch,MegucaHistorian,Mature,25 Mar 2023
292,magica hiccup,seanicornspoice,Not Rated,25 Mar 2023
293,Something that happened before Christmas,NY_RAT,General Audiences,25 Mar 2023
294,Sisters in Arms,TapuKokoro,Mature,25 Mar 2023
295,Lillies Of Despair,AkemiHomura103,Teen And Up Audiences,25 Mar 2023
296,light pink and sunsets,PetticoatCO,General Audiences,23 Mar 2023
297,Three Worlds,Swagster1984,Teen And Up Audiences,23 Mar 2023
298,Futanari Magi Madoka Magica,UneasyShield,Explicit,23 Mar 2023
299,Madoka magica but make it wxs (mostly ruikasa),atamascolily,Not Rated,22 Mar 2023
300,Pygmalion's Statue,futanon,General Audiences,22 Mar 2023
